INFO 2025-04-10 09:52:28,165 autoreload Watching for file changes with StatReloader
INFO 2025-04-10 09:52:37,801 basehttp "GET /parcels/ HTTP/1.1" 200 17040
INFO 2025-04-10 09:52:42,271 views Starting sync_from_api operation
INFO 2025-04-10 09:52:42,271 views Requesting parcels from WMS API
INFO 2025-04-10 09:52:42,271 api_client Attempting to get parcels from https://wmsandroidapi-w74du.ondigitalocean.app/api/parcels
INFO 2025-04-10 09:52:43,802 api_client Successfully retrieved 486 parcels from API
DEBUG 2025-04-10 09:52:43,806 views Updating existing parcel: 450cd3a2-b15b-46f7-a615-a599af6913a0
DEBUG 2025-04-10 09:52:43,811 views Updating existing parcel: 7178a85e-65ed-4f9f-be5f-993fbd82705a
DEBUG 2025-04-10 09:52:43,814 views Updating existing parcel: 78fa4d59-89e4-4853-9c5c-75478039388d
DEBUG 2025-04-10 09:52:43,818 views Updating existing parcel: f3136e75-aadf-471e-a864-1fafbb979667
DEBUG 2025-04-10 09:52:43,822 views Updating existing parcel: 1d57ec51-c630-4411-a324-f5a035ab844c
DEBUG 2025-04-10 09:52:43,827 views Updating existing parcel: ea28f980-dc88-441c-8524-cf30b32d25dc
DEBUG 2025-04-10 09:52:43,832 views Creating new parcel: 646459b9-ef42-4fe5-9763-4efd60feb6ae
ERROR 2025-04-10 09:52:43,832 views Error processing parcel: Invalid isoformat string: '2025-02-27T12:33:06.94189+00:00'
DEBUG 2025-04-10 09:52:43,834 views Creating new parcel: a26ec830-67f6-41e5-8ee5-6798175e769f
DEBUG 2025-04-10 09:52:43,842 views Creating new parcel: 4ca5584a-d765-4cce-814f-f11ed9e30185
DEBUG 2025-04-10 09:52:43,849 views Creating new parcel: da54a337-9be4-4012-afae-7895cadb8b7f
ERROR 2025-04-10 09:52:43,849 views Error processing parcel: Invalid isoformat string: '2025-02-27T13:23:37.37287+00:00'
DEBUG 2025-04-10 09:52:43,850 views Creating new parcel: bb44a727-fbe0-468c-9ebf-b4e98d534e31
DEBUG 2025-04-10 09:52:43,858 views Creating new parcel: 69f92c91-5823-4ff6-8219-756f2d3ad8e5
DEBUG 2025-04-10 09:52:43,866 views Creating new parcel: 9b34c58e-3cf9-47c5-bb57-5881dc585bab
DEBUG 2025-04-10 09:52:43,874 views Creating new parcel: dfb75a2f-b350-4d20-824e-96b655670912
DEBUG 2025-04-10 09:52:43,882 views Creating new parcel: 0e2c9669-15b0-4391-be8b-9382d3687bed
DEBUG 2025-04-10 09:52:43,890 views Creating new parcel: 73db53c2-c4d7-42d4-b850-0ccb6f4943aa
DEBUG 2025-04-10 09:52:43,900 views Creating new parcel: c5d06d62-b868-4c5c-b9aa-df9e3f8ae2e3
DEBUG 2025-04-10 09:52:43,911 views Creating new parcel: 5865bc7c-13c8-4764-8f81-0266d82b94dc
DEBUG 2025-04-10 09:52:43,919 views Creating new parcel: a57862c9-1fb5-4703-a143-4d198aacd5c8
DEBUG 2025-04-10 09:52:43,928 views Creating new parcel: 68661f6c-f5bf-42e8-b2ab-e191beef5496
DEBUG 2025-04-10 09:52:43,936 views Creating new parcel: b7f16f6c-a052-4a97-8a56-53e6c95c6b78
ERROR 2025-04-10 09:52:43,936 views Error processing parcel: Invalid isoformat string: '2025-02-28T11:11:12.64295+00:00'
DEBUG 2025-04-10 09:52:43,938 views Creating new parcel: 992feb16-678c-45ff-88bb-efb7ffe9898c
DEBUG 2025-04-10 09:52:43,947 views Creating new parcel: 12c2ad1e-ac77-4428-af99-529ae72571c3
DEBUG 2025-04-10 09:52:43,955 views Creating new parcel: 57cf415d-6652-4a02-b3d2-320bd74ea1ad
DEBUG 2025-04-10 09:52:43,964 views Creating new parcel: e42b275b-79cc-4754-baaf-394a6033cfb9
DEBUG 2025-04-10 09:52:43,971 views Creating new parcel: 41749003-eac3-4261-bc5b-c5756185f264
